epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8061,1.33391,2.80276,1.4699,0.00346,1,0.55116,0.30269,1.31598,3.29443,1.92882,0.00034,0.00034,0.00034
2,93.6064,1.29495,2.03694,1.4181,0.00327,0.94444,0.21271,0.06765,2.09021,3.63692,2.49251,0.00068614,0.00068614,0.00068614
3,139.436,1.37076,1.97295,1.44637,0.40572,0.12963,0.40128,0.18017,1.87452,3.3102,2.43682,0.00101802,0.00101802,0.00101802
4,185.965,1.38445,1.96984,1.52901,0.30739,0.37037,0.30009,0.08545,1.87208,3.46392,2.40969,0.00133565,0.00133565,0.00133565
5,231.379,1.3976,2.06564,1.5078,0.39498,0.53704,0.41588,0.16704,1.7359,3.2303,2.32738,0.00163902,0.00163902,0.00163902
6,275.406,1.43321,2.0864,1.58566,0.5278,0.37263,0.47492,0.18467,1.91545,6.2738,2.68091,0.001802,0.001802,0.001802
7,318.873,1.40594,1.92636,1.54678,0.28245,0.54677,0.30039,0.09876,1.79345,5.13339,2.44526,0.0017624,0.0017624,0.0017624
8,365.241,1.43758,1.78566,1.56741,0.24572,0.55556,0.3438,0.13125,1.59382,11.5437,2.33112,0.0017228,0.0017228,0.0017228
9,411.501,1.39117,1.78358,1.51111,0.5694,0.48985,0.49028,0.23008,1.61042,3.09569,2.24899,0.0016832,0.0016832,0.0016832
10,457.222,1.32569,1.64391,1.49105,0.51263,0.61111,0.60173,0.242,1.82033,3.54889,2.51113,0.0016436,0.0016436,0.0016436
11,503.657,1.47233,1.67619,1.58891,0.39948,0.59259,0.5047,0.24702,1.81381,2.85352,2.4462,0.001604,0.001604,0.001604
12,540.338,1.30902,1.62932,1.47217,0.5618,0.56987,0.52447,0.29255,1.65289,2.37752,2.11715,0.0015644,0.0015644,0.0015644
13,575.818,1.2867,1.60501,1.47159,0.55238,0.68519,0.56526,0.28103,1.66134,2.16851,2.00781,0.0015248,0.0015248,0.0015248
14,611.522,1.30831,1.50572,1.46309,0.48971,0.55556,0.53225,0.25961,1.77554,2.39342,2.12607,0.0014852,0.0014852,0.0014852
15,646.977,1.28314,1.46921,1.4373,0.73028,0.7037,0.70564,0.34386,1.62102,2.34668,2.12512,0.0014456,0.0014456,0.0014456
16,682.805,1.29928,1.39782,1.47481,0.81385,0.72873,0.78433,0.37479,1.69577,1.96757,2.22863,0.001406,0.001406,0.001406
17,718.248,1.26634,1.40488,1.42824,0.76485,0.75926,0.75906,0.37679,1.64321,2.11931,2.04315,0.0013664,0.0013664,0.0013664
18,753.989,1.29409,1.35129,1.46358,0.75972,0.53704,0.72703,0.38296,1.44305,1.98334,1.8714,0.0013268,0.0013268,0.0013268
19,789.942,1.25893,1.31548,1.40663,0.43662,0.61111,0.53057,0.24113,1.64954,2.15912,2.05381,0.0012872,0.0012872,0.0012872
20,839.85,1.29604,1.24981,1.42986,0.64484,0.44444,0.59403,0.28927,1.63258,1.93596,1.97945,0.0012476,0.0012476,0.0012476
21,939.767,1.23896,1.35093,1.43191,0.79438,0.64397,0.7387,0.35535,1.64929,1.76619,1.99099,0.001208,0.001208,0.001208
22,1044,1.23067,1.22689,1.38302,0.68994,0.75926,0.77113,0.37117,1.71438,1.67976,2.14213,0.0011684,0.0011684,0.0011684
23,1150.56,1.19168,1.19269,1.3625,0.78983,0.7037,0.79805,0.39822,1.65445,1.71657,2.03257,0.0011288,0.0011288,0.0011288
24,1259.21,1.18664,1.20121,1.3845,0.78041,0.7037,0.73751,0.38129,1.56788,1.72993,1.87558,0.0010892,0.0010892,0.0010892
25,1368.66,1.17962,1.17945,1.38847,0.73861,0.64815,0.70824,0.33428,1.58862,1.76094,1.93736,0.0010496,0.0010496,0.0010496
26,1477.82,1.13573,1.04438,1.30979,0.85099,0.74074,0.81378,0.36306,1.70028,1.64237,2.17411,0.00101,0.00101,0.00101
27,1535.08,1.17443,1.13902,1.35286,0.77517,0.70237,0.75634,0.3323,1.72183,1.65103,2.1286,0.0009704,0.0009704,0.0009704
28,1577.24,1.16651,1.11069,1.35439,0.76323,0.7037,0.7969,0.35918,1.70839,1.67864,2.08754,0.0009308,0.0009308,0.0009308
29,1618.84,1.1529,1.09712,1.35337,0.87582,0.74074,0.84195,0.39868,1.60985,1.52183,1.95481,0.0008912,0.0008912,0.0008912
30,1660.57,1.20691,1.08377,1.38063,0.86806,0.72222,0.82123,0.41788,1.54035,1.5641,1.93481,0.0008516,0.0008516,0.0008516
31,1702.52,1.12431,1.08835,1.33733,0.83903,0.77226,0.847,0.44543,1.3955,1.45338,1.80441,0.000812,0.000812,0.000812
32,1744.62,1.06379,0.96671,1.26494,0.87532,0.83333,0.85981,0.46705,1.50992,1.34775,1.87442,0.0007724,0.0007724,0.0007724
33,1786.51,1.09862,0.94829,1.2926,0.89396,0.83333,0.87716,0.45481,1.69301,1.37562,2.03063,0.0007328,0.0007328,0.0007328
34,1828.68,1.0768,0.9828,1.27387,0.87698,0.87037,0.87997,0.465,1.6857,1.32601,2.00538,0.0006932,0.0006932,0.0006932
35,1870.6,1.07251,0.9173,1.27412,0.86611,0.90741,0.88749,0.48013,1.5695,1.2735,1.92034,0.0006536,0.0006536,0.0006536
36,1912.85,1.0212,0.90006,1.23491,0.88787,0.92593,0.89867,0.48934,1.51257,1.23195,1.89026,0.000614,0.000614,0.000614
37,1955.22,1.01986,0.88083,1.25701,0.89285,0.92593,0.90431,0.48004,1.59378,1.14379,1.95575,0.0005744,0.0005744,0.0005744
38,1997.22,1.01403,0.89857,1.23617,0.85549,0.90741,0.87383,0.47241,1.57478,1.14466,1.93745,0.0005348,0.0005348,0.0005348
39,2038.96,0.94651,0.85921,1.19885,0.78707,0.88986,0.86822,0.44574,1.6659,1.14802,1.99959,0.0004952,0.0004952,0.0004952
40,2080.8,0.94505,0.82146,1.20325,0.80635,0.85185,0.8475,0.44519,1.6611,1.18593,1.98181,0.0004556,0.0004556,0.0004556
41,2118.34,0.90504,0.81857,1.17447,0.80685,0.87037,0.84654,0.47239,1.57461,1.17821,1.87758,0.000416,0.000416,0.000416
42,2154.93,0.88989,0.78085,1.18081,0.8388,0.83333,0.85581,0.48214,1.48882,1.27778,1.8441,0.0003764,0.0003764,0.0003764
43,2192.01,0.8446,0.76285,1.1305,0.82965,0.81481,0.86227,0.46616,1.62687,1.28885,1.94746,0.0003368,0.0003368,0.0003368
44,2228.71,0.86636,0.73326,1.13418,0.85799,0.83333,0.86542,0.45507,1.63148,1.26083,1.98849,0.0002972,0.0002972,0.0002972
45,2265.08,0.80546,0.7493,1.09475,0.89524,0.7913,0.86522,0.45012,1.62462,1.24252,2.01595,0.0002576,0.0002576,0.0002576
46,2301.57,0.82393,0.72028,1.1261,0.83831,0.87037,0.87436,0.46554,1.57602,1.22177,1.97871,0.000218,0.000218,0.000218
47,2337.81,0.80348,0.69442,1.10895,0.88658,0.86852,0.88644,0.46153,1.58391,1.16725,2.00465,0.0001784,0.0001784,0.0001784
48,2374.06,0.76703,0.66875,1.08639,0.86421,0.87037,0.88067,0.4831,1.49677,1.13841,1.91692,0.0001388,0.0001388,0.0001388
49,2416.85,0.81572,0.68851,1.12163,0.84703,0.87037,0.87818,0.50389,1.42454,1.13638,1.85764,9.92e-05,9.92e-05,9.92e-05
50,2468.49,0.76286,0.64947,1.05545,0.83193,0.85185,0.87213,0.50032,1.41531,1.13403,1.8529,5.96e-05,5.96e-05,5.96e-05
